Symbol,Name,MarketCap,Country,Sector,Industry
DCTH,Delcath Systems  Inc.,10011377,United States,Health Care,Medical/Dental Instruments
PZG,Paramount Gold Nevada Corp.,10137361.29,United States,Basic Industries,Precious Metals
IPDN,Professional Diversity Network  Inc.,10417952.12,United States,Technology,Computer Software: Programming  Data Processing
PED,Pedevco Corp.,10427638.4401,United States,Energy,Oil & Gas Production
IDN,Intellicheck Mobilisa  Inc.,10446025.46,United States,Technology,Computer Software: Prepackaged Software
USEG,U.S. Energy Corp.,10517872.875,United States,Energy,Oil & Gas Production
SPEX,Spherix Incorporated,10664856.53,United States,Miscellaneous,Multi-Sector Companies
MELA,MELA Sciences  Inc,10678346.64,United States,Health Care,Medical/Dental Instruments
ROYL,Royale Energy  Inc.,10712583.27,United States,Energy,Oil & Gas Production
AKTX,Akari Therapeutics Plc,10900263.896,United States,Health Care,Major Pharmaceuticals
LGL,LGL Group  Inc. (The),11009032.85,United States,Capital Goods,Industrial Machinery/Components
FES,Forbes Energy Services Ltd,11078717.5,United States,Energy,Oilfield Services/Equipment
UUU,Universal Security Instruments  Inc.,11101857.6,United States,Consumer Non-Durables,Electronic Components
AUMN,Golden Minerals Company,11164194.93,United States,Basic Industries,Precious Metals
PDEX,Pro-Dex  Inc.,11508029.62,United States,Health Care,Medical/Dental Instruments
VSCP,VirtualScopics  Inc.,11530472.8,United States,Health Care,Medical/Dental Instruments
CRVP,Crystal Rock Holdings  Inc.,11533541.94,United States,Consumer Non-Durables,Food Distributors
DSS,Document Security Systems  Inc.,11575601,United States,Consumer Durables,Containers/Packaging
HMG,HMG/Courtland Properties  Inc.,11686149.32,United States,Consumer Services,Real Estate Investment Trusts
NSYS,Nortech Systems Incorporated,11781734.25,United States,Capital Goods,Industrial Machinery/Components
FPP,FieldPoint Petroleum Corporation,11810534.33,United States,Energy,Oil & Gas Production
SSN,Samson Oil & Gas Limited,12060795.35,United States,Energy,Oil & Gas Production
ARTW,Art&#39;s-Way Manufacturing Co.  Inc.,12223766.52,United States,Capital Goods,Industrial Machinery/Components
COOL,Majesco Entertainment Company,12275440.27,United States,Technology,Computer Software: Prepackaged Software
GRH,GreenHunter Resources  Inc.,12521552.8977,United States,Basic Industries,Major Chemicals
WSCI,WSI Industries Inc.,12640002.62,United States,Technology,Industrial Machinery/Components
TBIO,Transgenomic  Inc.,12651729.12,United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments
CBMX,CombiMatrix Corporation,12680927,United States,Health Care,Hospital/Nursing Management
NSPH,Nanosphere  Inc.,12921391,United States,Health Care,Medical/Dental Instruments
CLRB,Cellectar Biosciences  Inc.,12934667.43,United States,Health Care,Major Pharmaceuticals
HH,Hooper Holmes  Inc.,13027739.4097,United States,Health Care,Hospital/Nursing Management
ELSE,Electro-Sensors  Inc.,13106711.06,United States,Capital Goods,Industrial Machinery/Components
RLJE,RLJ Entertainment  Inc.,13263375.92,United States,Consumer Services,Movies/Entertainment
NBY,NovaBay Pharmaceuticals  Inc.,13275920.16,United States,Health Care,Major Pharmaceuticals
FORD,Forward Industries  Inc.,13307438.5245,United States,Consumer Non-Durables,Plastic Products
TGC,Tengasco  Inc.,13385330.86,United States,Energy,Oil & Gas Production
ACY,AeroCentury Corp.,13395470.76,United States,Technology,Diversified Commercial Services
SPDC,Speed Commerce  Inc.,13441303.64,United States,Technology,Retail: Computer Software & Peripheral Equipment
MARPS,Marine Petroleum Trust,13500000,United States,Energy,Oil & Gas Production
